class_id,class_type,class_description
64,Mage,Specializes in tanking damage and close combat.
67,Rogue,Specializes in tanking damage and close combat.
32,Summoner,"Skilled in stealth and quick, deadly attacks."
51,Rogue,Excels at long-range damage with various types of arrows.
145,Archer,Specializes in tanking damage and close combat.
19,Warrior,Summons minions to aid in combat.
10,Mage,Summons minions to aid in combat.
29,Mage,Summons minions to aid in combat.
21,Healer,Offers both damage and support through a variety of spells.
141,Archer,"Skilled in stealth and quick, deadly attacks."
91,Mage,Excels at long-range damage with various types of arrows.
132,Archer,Summons minions to aid in combat.
150,Rogue,Focuses on healing and buffing teammates.
78,Summoner,Excels at long-range damage with various types of arrows.
116,Warrior,Offers both damage and support through a variety of spells.
23,Healer,Offers both damage and support through a variety of spells.
62,Archer,Specializes in tanking damage and close combat.
53,Mage,Summons minions to aid in combat.
142,Healer,Focuses on healing and buffing teammates.
33,Summoner,Focuses on healing and buffing teammates.
26,Warrior,"Skilled in stealth and quick, deadly attacks."
94,Warrior,Specializes in tanking damage and close combat.
95,Archer,Specializes in tanking damage and close combat.
39,Archer,Offers both damage and support through a variety of spells.
158,Rogue,Excels at long-range damage with various types of arrows.
43,Archer,"Skilled in stealth and quick, deadly attacks."
72,Warrior,Offers both damage and support through a variety of spells.
34,Summoner,"Skilled in stealth and quick, deadly attacks."
137,Summoner,Summons minions to aid in combat.
45,Rogue,Focuses on healing and buffing teammates.
111,Healer,Specializes in tanking damage and close combat.
86,Mage,Focuses on healing and buffing teammates.
162,Warrior,"Skilled in stealth and quick, deadly attacks."
42,Archer,Summons minions to aid in combat.
139,Healer,Offers both damage and support through a variety of spells.
74,Archer,Focuses on healing and buffing teammates.
156,Rogue,Summons minions to aid in combat.
101,Healer,"Skilled in stealth and quick, deadly attacks."
129,Healer,Summons minions to aid in combat.
54,Rogue,Focuses on healing and buffing teammates.
126,Summoner,Excels at long-range damage with various types of arrows.
84,Archer,"Skilled in stealth and quick, deadly attacks."
3,Archer,Excels at long-range damage with various types of arrows.
124,Summoner,Summons minions to aid in combat.
11,Healer,Summons minions to aid in combat.
88,Mage,Summons minions to aid in combat.
59,Mage,Offers both damage and support through a variety of spells.
69,Rogue,"Skilled in stealth and quick, deadly attacks."
107,Warrior,Specializes in tanking damage and close combat.
15,Warrior,Offers both damage and support through a variety of spells.
37,Archer,Offers both damage and support through a variety of spells.
113,Mage,Specializes in tanking damage and close combat.
115,Mage,Focuses on healing and buffing teammates.
121,Mage,Offers both damage and support through a variety of spells.
79,Warrior,Excels at long-range damage with various types of arrows.
147,Mage,Offers both damage and support through a variety of spells.
12,Healer,Specializes in tanking damage and close combat.
48,Mage,Specializes in tanking damage and close combat.
56,Archer,Offers both damage and support through a variety of spells.
28,Rogue,Offers both damage and support through a variety of spells.
98,Healer,Specializes in tanking damage and close combat.
110,Summoner,Offers both damage and support through a variety of spells.
70,Summoner,"Skilled in stealth and quick, deadly attacks."
7,Archer,Specializes in tanking damage and close combat.
104,Archer,"Skilled in stealth and quick, deadly attacks."
119,Warrior,Offers both damage and support through a variety of spells.
77,Healer,Focuses on healing and buffing teammates.
153,Healer,Specializes in tanking damage and close combat.
155,Mage,Focuses on healing and buffing teammates.
82,Mage,"Skilled in stealth and quick, deadly attacks."
159,Mage,Focuses on healing and buffing teammates.
63,Rogue,Summons minions to aid in combat.
16,Warrior,"Skilled in stealth and quick, deadly attacks."
6,Archer,Excels at long-range damage with various types of arrows.
134,Rogue,Specializes in tanking damage and close combat.
24,Healer,Summons minions to aid in combat.
33,Summoner,Summons minions to aid in combat.
133,Archer,"Skilled in stealth and quick, deadly attacks."
69,Summoner,Offers both damage and support through a variety of spells.
58,Warrior,Excels at long-range damage with various types of arrows.
25,Warrior,"Skilled in stealth and quick, deadly attacks."
23,Rogue,Focuses on healing and buffing teammates.
77,Mage,"Skilled in stealth and quick, deadly attacks."
139,Mage,Excels at long-range damage with various types of arrows.
83,Summoner,Focuses on healing and buffing teammates.
88,Mage,Offers both damage and support through a variety of spells.
61,Rogue,Focuses on healing and buffing teammates.
127,Summoner,"Skilled in stealth and quick, deadly attacks."
93,Warrior,Focuses on healing and buffing teammates.
50,Warrior,Focuses on healing and buffing teammates.
84,Mage,"Skilled in stealth and quick, deadly attacks."
106,Healer,Specializes in tanking damage and close combat.
28,Archer,Specializes in tanking damage and close combat.
11,Rogue,Focuses on healing and buffing teammates.
66,Rogue,Summons minions to aid in combat.
136,Summoner,Summons minions to aid in combat.
73,Rogue,Specializes in tanking damage and close combat.
52,Archer,Specializes in tanking damage and close combat.
110,Healer,Focuses on healing and buffing teammates.
27,Healer,"Skilled in stealth and quick, deadly attacks."
37,Mage,Specializes in tanking damage and close combat.
10,Healer,Excels at long-range damage with various types of arrows.
125,Healer,Summons minions to aid in combat.
128,Healer,Specializes in tanking damage and close combat.
99,Summoner,Offers both damage and support through a variety of spells.
47,Warrior,Focuses on healing and buffing teammates.
4,Rogue,Focuses on healing and buffing teammates.
