quest_id,name,description,type_difficulty,required_level,experience_points
126,cruoguotr,steflore,EASY,367,412
172,friscuvdix,osmuojvut,MEDIUM,42,717
72,aplo,blegzi,HARD,402,48
38,ismeife,skinu,HARD,364,190
50,swaeplopr,iajnatu,EASY,573,29
61,ouster,glignat,EASY,24,702
134,lzi,grazxoe,MEDIUM,338,644
76,aobugmab,agruefro,HARD,68,702
82,gxapr,pliswusnof,HARD,163,103
95,glipludre,jriaky,EASY,497,782
114,fmostaomo,okiijbi,MEDIUM,977,444
156,oteugz,skiskospe,MEDIUM,116,904
108,ocruubrosme,uinji,HARD,550,23
117,troulze,miocri,HARD,494,751
32,lnuv,qheitr,MEDIUM,370,501
166,flaan,druo,MEDIUM,89,548
6,eky,jesd,HARD,60,545
130,apruh,aabafrecl,HARD,541,895
157,trusc,xofriegra,MEDIUM,604,619
39,qyagakci,smispopn,HARD,725,84
53,uiglose,umjic,HARD,687,203
144,grabrusk,plasp,MEDIUM,462,920
140,evnefr,ezkiaglai,MEDIUM,624,200
99,smem,oaswedricr,MEDIUM,306,732
29,invilhu,laww,MEDIUM,263,857
69,evliav,clenliasc,EASY,375,480
105,ousje,shubhi,EASY,40,376
79,bresc,edboqo,MEDIUM,145,105
26,flitripr,dricl,EASY,573,116
94,ckefra,fruf,HARD,224,464
2,croisloa,osmilzabru,HARD,149,912
171,ejubn,cluflig,MEDIUM,324,982
90,fadd,xfecru,HARD,503,969
121,fraispag,praahofo,MEDIUM,739,235
84,treyxoji,tusme,MEDIUM,389,141
159,tjouss,czesnu,HARD,492,627
68,gluetc,wzaenui,EASY,790,87
128,oamdi,koflujji,MEDIUM,738,534
10,staismij,breasp,MEDIUM,786,52
46,eeg,dagru,EASY,373,530
125,stieraxosm,clusca,MEDIUM,892,114
16,nruxo,fausnu,EASY,284,949
179,ooblon,ptuslind,HARD,253,783
113,skioy,truivauym,EASY,844,763
161,smu,frokw,MEDIUM,32,664
164,plobi,fpootrep,HARD,907,719
112,snii,tupxetr,MEDIUM,478,781
43,plasy,pruswi,HARD,953,874
158,stau,prasliyx,HARD,635,193
77,jifzajo,sgao,HARD,964,755
20,dedroq,qusko,EASY,827,982
118,preihmo,oxaglawn,MEDIUM,441,753
149,fleccisn,spisueve,MEDIUM,300,293
87,snagrien,kascepr,EASY,233,975
18,slaolw,vauz,EASY,665,490
