question_id,content,choice_options,emotion
137,"When it''s us vs. them, always bet on us. Unless they''re higher level.",117,637
228,The only thing we have to grind is grinding itself.,494,616
60,"Before you proceed, hero, please read our terms of service.",639,574
112,"He who fights with monsters should be careful lest he thereby become a monster. And if you grind too long, the grind also grinds you.",704,721
100,Existential dread got you down? Try our new Existential Bread\u00e2\u20ac\u201dfreshly baked in-game!,356,195
215,You either die a hero or live long enough to become an NPC.,593,761
140,"The princess is in another castle... but she left her Snapchat, so it''s not a total loss.",526,51
125,"I think you''re in the wrong game, but hey, as long as you''re having fun!",533,275
50,"A horse, a horse, my lootbox for a horse!",758,734
20,"We make a special deal for you, only today, only now: Buy one health potion, get one free!",792,548
10,"Do not dwell in the past, do not dream of the future, concentrate the mind on the present game.",208,783
205,"Hail, hero! The kingdom''s salvation lies in... Hey, are you even listening? Stop checking your inventory!",580,348
184,"A horse, a horse, my lootbox for a horse!",533,534
3,There is always some madness in leveling up. But there is also always some reason in madness.,672,315
159,"Hey, listen! You should really stock up on potions before the next fight.",584,419
148,"What''s up, heroes! Use code ''EPICQUEST'' for 10% off your next in-game purchase!",536,235
139,"The orcs have a saying: ''Die with honor, respawn with more loot.''",991,140
70,"The cake is a lie, but the XP is real!",240,801
186,It''s dangerous to go alone! Take this loot drop.,411,93
176,Today''s forecast: Cloudy with a chance of dragon attacks.,524,377
80,It''s-a me! Are you ready to jump into the next adventure?,109,869
145,"Hey, wanna see something cool? Press Alt+F4!",437,747
131,"Ah, the wind whispers of your coming, brave adventurer! How may Old Gregg assist you today?",505,59
54,"So you''re an adventurer? Isn''t that just kick-you-in-the-crotch, spit-on-your-neck fantastic?",917,711
23,"Welcome, adventurer, to the dungeon of doom! Not to be confused with the dungeon of gloom, that''s two doors down.",102,802
212,"Ah, the wind whispers of your coming, brave adventurer! How may Old Gregg assist you today?",906,827
129,"The course of true love never did run smooth. But then again, neither does lag.",488,820
196,"OMG, you guys! This dungeon is sooo lit! #BestDungeonEver",66,337
104,"Ah, another wanderer looking to buy some potions. Just don''t ask what''s in them.",720,870
156,"So you''re an adventurer? Isn''t that just kick-you-in-the-crotch, spit-on-your-neck fantastic?",156,109
174,"OMG, you guys! This dungeon is sooo lit! #BestDungeonEver",438,58
195,"Our kingdom is in peril! But first, let''s take a selfie.",524,265
25,Behind every avatar is a player with a snack.,617,636
47,"The cake is a lie, but the XP is real!",616,165
