character_id,enemy_id,timestamp,value
168,370,2022-04-14T09,Captured
7,269,2023-01-09T03,Defeated
63,368,2022-04-14T08,Defeated
99,264,2023-07-13T02,Escaped
41,338,2022-12-12T20,Escaped
111,288,2023-06-04T02,Defeated
248,338,2022-09-13T03,Captured
179,369,2023-01-25T08,Escaped
373,306,2022-01-29T04,Defeated
36,319,2021-08-23T11,Defeated
35,227,2021-08-20T19,Escaped
22,212,2023-04-10T11,Defeated
17,296,2022-07-31T09,Escaped
277,296,2021-06-21T09,Defeated
310,264,2022-06-24T18,Captured
156,382,2022-04-08T15,Captured
322,343,2022-03-09T01,Escaped
313,401,2021-10-05T04,Defeated
51,261,2023-08-19T23,Defeated
370,346,2022-01-21T10,Escaped
48,303,2023-03-02T01,Escaped
356,361,2022-12-14T19,Defeated
58,386,2023-09-05T20,Escaped
252,251,2022-03-22T21,Captured
313,279,2021-11-03T01,Captured
77,235,2021-08-07T22,Defeated
374,251,2023-01-13T13,Escaped
14,288,2021-06-11T11,Captured
35,293,2021-11-09T00,Defeated
34,278,2023-04-27T22,Defeated
126,354,2022-10-25T19,Captured
370,369,2023-06-02T19,Escaped
248,258,2022-05-09T17,Captured
104,391,2022-09-20T12,Captured
155,386,2021-03-03T10,Defeated
218,229,2022-06-26T01,Escaped
165,414,2021-04-30T19,Defeated
326,265,2023-02-21T07,Defeated
98,313,2023-05-26T02,Defeated
3,242,2022-07-22T06,Defeated
154,212,2022-07-13T01,Defeated
374,202,2022-11-07T08,Defeated
260,398,2022-10-22T02,Captured
204,211,2022-09-19T19,Defeated
17,370,2022-10-16T08,Captured
54,348,2023-06-08T14,Captured
208,288,2023-09-10T19,Escaped
292,338,2022-06-23T15,Defeated
348,382,2022-06-03T06,Escaped
277,328,2021-10-11T20,Defeated
235,351,2023-08-05T02,Captured
99,227,2023-02-21T02,Captured
106,419,2022-11-28T11,Escaped
14,288,2021-05-14T09,Captured
312,364,2022-11-18T05,Captured
63,320,2022-06-19T13,Escaped
365,214,2022-05-11T07,Captured
127,214,2023-09-09T10,Escaped
45,338,2021-10-03T10,Defeated
185,234,2022-01-24T17,Escaped
226,332,2022-12-02T16,Escaped
28,420,2021-11-05T06,Escaped
56,276,2021-06-25T14,Captured
17,265,2022-11-05T19,Captured
144,370,2023-04-14T15,Escaped
