character_id,guild_id,timestamp,value
66,22,2022-08-17T15,Promoted
3,54,2022-12-30T07,Promoted
104,151,2023-01-04T23,Joined
124,98,2021-12-27T18,Promoted
99,145,2023-09-07T16,Promoted
33,57,2021-04-25T16,Left
43,171,2021-01-18T12,Promoted
126,125,2021-06-24T10,Promoted
23,187,2022-03-02T20,Left
49,166,2023-05-09T01,Joined
84,137,2022-05-13T05,Left
138,112,2022-05-08T01,Left
84,3,2021-10-09T21,Joined
91,24,2022-05-06T07,Joined
91,106,2022-07-24T11,Promoted
47,123,2021-04-26T10,Left
50,166,2022-04-20T18,Promoted
32,112,2022-09-22T21,Joined
38,46,2023-07-07T16,Left
84,106,2021-10-15T02,Left
138,24,2022-04-05T17,Joined
101,134,2022-03-11T17,Left
57,156,2021-06-03T02,Left
27,41,2022-06-12T17,Left
68,195,2023-03-22T12,Left
36,75,2023-07-15T21,Joined
122,181,2021-05-20T12,Joined
115,35,2022-12-22T02,Joined
74,159,2023-08-06T02,Promoted
87,22,2021-02-20T16,Joined
69,105,2022-09-07T02,Joined
44,30,2023-04-30T23,Joined
118,28,2021-06-02T07,Joined
113,78,2021-06-24T16,Joined
26,189,2021-11-22T12,Joined
74,84,2022-08-13T08,Joined
108,166,2022-06-10T06,Left
111,8,2021-10-16T21,Joined
98,68,2021-03-23T03,Promoted
107,179,2022-03-24T16,Promoted
23,139,2023-05-30T07,Promoted
23,84,2021-01-11T02,Promoted
8,40,2023-02-07T07,Promoted
118,95,2022-07-09T15,Promoted
44,9,2022-04-01T23,Left
136,41,2023-01-14T06,Joined
104,179,2022-02-19T13,Left
43,35,2022-05-31T14,Left
37,50,2021-12-30T20,Joined
129,63,2023-02-11T02,Left
50,168,2022-09-12T17,Promoted
81,25,2022-06-30T00,Left
68,39,2023-08-30T00,Left
96,105,2022-04-06T23,Left
18,33,2022-12-12T00,Left
54,8,2023-06-22T18,Left
55,107,2021-11-24T14,Joined
115,111,2022-06-08T06,Left
60,111,2021-10-07T12,Promoted
44,81,2023-08-14T13,Promoted
44,95,2021-03-05T23,Left
52,54,2021-05-22T05,Promoted
57,118,2021-09-24T00,Joined
121,164,2023-07-23T21,Joined
133,161,2022-03-19T03,Joined
50,60,2023-08-04T07,Promoted
18,1,2021-02-14T12,Joined
126,125,2022-07-20T22,Left
69,123,2021-07-22T18,Left
22,43,2021-01-06T23,Left
16,173,2021-06-13T23,Joined
87,176,2021-01-07T17,Left
57,109,2021-10-18T09,Joined
133,146,2023-06-23T18,Left
26,176,2021-10-13T22,Promoted
131,16,2021-03-27T01,Left
36,183,2021-01-23T10,Left
37,176,2021-02-11T18,Promoted
68,157,2023-07-01T01,Left
71,87,2021-10-14T18,Joined
47,156,2023-03-22T23,Promoted
119,48,2022-07-22T17,Joined
136,91,2021-07-23T13,Joined
43,22,2022-02-12T00,Promoted
101,187,2021-12-19T03,Joined
16,25,2022-08-25T18,Joined
133,111,2023-07-26T16,Joined
77,35,2021-11-29T23,Left
104,134,2021-05-13T03,Left
91,46,2021-11-09T05,Promoted
27,48,2021-01-13T11,Promoted
38,39,2021-04-29T05,Promoted
111,159,2023-08-05T22,Left
16,145,2022-10-26T19,Promoted
111,174,2023-04-19T09,Left
76,54,2023-01-09T09,Promoted
104,33,2022-05-16T16,Promoted
10,9,2022-09-12T15,Left
8,168,2022-11-12T17,Joined
6,179,2021-02-18T10,Left
26,159,2023-02-02T18,Promoted
18,103,2021-11-30T09,Promoted
124,146,2021-10-20T07,Left
3,18,2021-09-01T16,Left
74,40,2021-12-23T07,Promoted
133,149,2021-02-02T09,Joined
134,192,2022-12-19T04,Left
133,75,2021-04-04T07,Joined
84,146,2021-04-27T04,Joined
113,109,2023-03-08T02,Left
98,50,2022-06-08T22,Joined
87,50,2021-12-15T17,Promoted
32,54,2022-04-05T14,Left
84,183,2022-10-31T03,Left
133,179,2022-03-14T06,Joined
37,173,2022-05-24T07,Left
81,100,2023-02-09T13,Left
139,69,2023-09-06T04,Joined
32,98,2022-04-14T09,Promoted
89,171,2023-02-12T02,Left
44,81,2021-10-03T13,Promoted
3,156,2023-03-11T22,Joined
134,146,2022-07-04T12,Promoted
98,87,2021-05-03T15,Joined
54,16,2022-06-16T22,Joined
119,14,2023-07-02T04,Promoted
54,22,2021-07-10T09,Joined
53,168,2021-01-30T23,Left
50,100,2022-11-21T04,Promoted
32,24,2022-07-04T22,Joined
47,59,2022-02-05T02,Promoted
133,59,2021-11-26T03,Joined
107,50,2021-07-15T18,Joined
68,103,2021-01-19T15,Left
106,93,2023-06-16T14,Promoted
138,6,2022-04-05T00,Joined
13,168,2023-07-21T04,Joined
