character_id,npc_id,timestamp,value
142,275,2022-09-10T09,Bought From
111,187,2021-12-05T07,Fought
65,270,2022-01-04T16,Talked
84,325,2021-01-21T15,Talked
157,375,2023-04-14T00,Bought From
162,79,2021-05-05T01,Talked
129,222,2022-04-11T10,Fought
62,96,2022-11-28T07,Bought From
173,329,2021-09-06T00,Sold To
54,135,2021-04-05T06,Sold To
60,348,2023-05-03T20,Talked
76,334,2022-07-10T09,Talked
73,76,2022-03-13T01,Bought From
11,79,2021-08-30T17,Talked
180,134,2022-11-02T20,Bought From
183,202,2021-09-04T15,Talked
84,145,2022-07-27T19,Sold To
106,100,2021-02-26T19,Bought From
67,237,2022-11-06T10,Ignored
26,34,2023-04-15T20,Bought From
167,312,2023-04-09T21,Fought
62,195,2023-02-08T02,Sold To
89,313,2021-01-25T11,Talked
74,191,2021-01-21T01,Sold To
165,220,2022-07-09T11,Fought
114,181,2021-03-01T02,Fought
178,179,2021-04-09T15,Bought From
144,316,2023-05-19T17,Bought From
137,338,2022-10-02T12,Fought
81,381,2021-03-30T11,Talked
51,212,2022-02-25T23,Talked
138,307,2023-08-02T12,Bought From
8,91,2021-09-13T23,Sold To
11,270,2022-12-31T13,Ignored
127,206,2021-05-19T07,Talked
70,268,2022-02-17T01,Sold To
116,316,2023-04-17T16,Talked
16,189,2022-12-25T01,Fought
16,278,2023-08-07T15,Talked
152,252,2022-10-03T13,Ignored
86,171,2023-01-06T09,Sold To
147,198,2022-10-31T11,Bought From
178,241,2022-04-06T05,Fought
33,191,2022-06-16T03,Fought
124,108,2023-07-18T20,Ignored
8,173,2021-07-27T18,Sold To
88,108,2021-10-14T10,Bought From
81,148,2022-03-22T02,Fought
15,155,2021-07-26T15,Bought From
43,70,2021-01-04T14,Bought From
8,237,2022-04-09T17,Talked
19,245,2022-06-27T15,Bought From
23,20,2021-09-29T10,Ignored
98,301,2021-09-03T20,Bought From
6,301,2023-07-16T17,Sold To
98,222,2022-08-08T12,Fought
106,292,2022-09-17T19,Talked
57,80,2022-12-25T03,Talked
159,145,2021-12-09T06,Bought From
6,151,2021-03-22T02,Bought From
128,181,2022-10-02T21,Bought From
180,141,2023-07-06T23,Fought
4,9,2022-07-22T19,Bought From
6,118,2021-07-17T04,Bought From
165,64,2023-05-14T10,Sold To
124,193,2022-07-14T01,Bought From
89,374,2023-06-12T03,Ignored
138,141,2021-12-09T16,Sold To
43,249,2021-10-26T06,Bought From
89,181,2022-08-23T16,Talked
43,176,2021-08-10T10,Sold To
157,240,2023-03-17T21,Bought From
67,198,2023-08-26T10,Fought
35,347,2021-05-29T16,Fought
74,313,2023-05-01T08,Ignored
99,378,2021-06-13T07,Fought
146,320,2022-10-10T14,Sold To
114,337,2022-07-07T00,Bought From
137,275,2021-07-09T23,Talked
23,331,2023-07-15T05,Bought From
118,277,2022-02-03T05,Talked
183,38,2021-10-09T00,Fought
180,261,2021-03-20T23,Sold To
97,211,2021-12-29T03,Ignored
91,233,2021-09-21T21,Talked
54,384,2022-11-22T05,Bought From
70,265,2021-06-01T07,Bought From
159,268,2021-01-26T12,Sold To
34,31,2022-04-17T12,Talked
104,325,2023-09-04T12,Ignored
81,361,2023-02-12T23,Bought From
128,173,2022-06-06T03,Bought From
112,182,2022-09-23T17,Talked
146,304,2023-08-02T06,Talked
73,245,2021-01-06T12,Fought
104,288,2023-03-26T23,Ignored
104,370,2022-06-09T14,Fought
180,223,2021-11-02T23,Talked
146,324,2021-05-06T14,Ignored
138,38,2022-06-23T05,Bought From
6,280,2021-10-03T02,Ignored
57,28,2022-10-13T12,Sold To
173,52,2021-07-12T05,Ignored
19,228,2022-12-06T12,Talked
121,52,2021-06-30T18,Fought
63,286,2022-03-06T01,Fought
173,338,2022-08-21T20,Talked
157,320,2023-09-05T02,Talked
69,114,2022-08-21T13,Talked
63,277,2021-03-07T12,Fought
128,193,2023-03-06T13,Bought From
54,38,2021-12-15T01,Sold To
46,2,2021-09-16T05,Fought
81,235,2021-09-17T18,Fought
118,90,2023-06-25T15,Sold To
111,5,2021-04-17T01,Fought
89,347,2023-01-03T13,Sold To
19,257,2022-05-31T07,Fought
102,347,2022-01-20T22,Fought
26,301,2023-08-23T16,Fought
147,176,2022-06-04T08,Ignored
183,17,2023-01-14T12,Fought
111,370,2022-03-21T23,Talked
91,9,2022-03-22T19,Sold To
116,302,2023-06-15T16,Ignored
167,154,2022-02-09T11,Bought From
124,67,2021-09-26T01,Ignored
46,265,2021-09-05T13,Talked
160,265,2021-04-23T04,Talked
88,90,2021-09-24T01,Fought
145,201,2023-09-07T04,Sold To
102,93,2021-11-07T13,Talked
112,300,2023-06-27T00,Fought
33,151,2023-05-11T13,Fought
160,97,2021-10-06T00,Talked
16,161,2023-09-11T10,Fought
135,161,2021-02-28T22,Ignored
108,154,2021-06-26T19,Sold To
132,283,2021-06-29T09,Talked
89,214,2022-03-30T11,Sold To
118,387,2022-10-22T05,Ignored
11,114,2022-02-17T13,Sold To
76,127,2022-06-28T14,Talked
11,307,2021-01-05T17,Ignored
160,244,2021-04-07T21,Ignored
98,35,2021-12-05T21,Fought
84,120,2023-03-26T16,Sold To
15,124,2021-11-28T22,Sold To
116,168,2022-07-28T09,Fought
177,289,2022-09-30T04,Sold To
54,211,2023-08-19T15,Fought
160,320,2021-07-25T09,Talked
129,222,2022-08-18T16,Ignored
83,105,2023-02-24T04,Fought
102,34,2021-01-12T19,Bought From
35,120,2022-01-14T19,Sold To
88,35,2021-04-29T17,Sold To
