character_id,team_id,timestamp,value
22,145,2022-01-06T10,Joined
22,56,2022-05-28T16,Captained
91,126,2021-01-20T04,Left
84,102,2022-05-30T23,Joined
146,217,2023-01-15T12,Joined
8,222,2021-09-01T16,Captained
129,133,2021-12-26T08,Left
124,153,2022-05-28T05,Captained
48,84,2022-02-18T20,Left
78,148,2023-02-28T05,Joined
135,61,2023-04-22T00,Joined
89,165,2021-03-20T10,Joined
135,69,2023-09-09T21,Left
180,122,2022-07-20T10,Left
91,138,2021-10-11T03,Left
44,76,2021-05-07T15,Left
6,33,2023-08-14T15,Captained
67,112,2023-02-18T15,Captained
30,169,2021-11-17T22,Captained
140,18,2022-02-28T23,Joined
16,156,2022-11-23T22,Joined
86,165,2022-07-11T21,Captained
146,229,2023-04-03T17,Left
114,117,2022-08-04T16,Captained
80,65,2021-09-09T05,Left
26,115,2022-04-05T12,Joined
26,126,2022-12-28T00,Left
23,56,2023-06-23T12,Captained
4,178,2023-06-16T15,Captained
142,28,2022-11-25T04,Captained
153,244,2023-08-24T02,Joined
86,25,2022-02-11T04,Left
64,17,2022-02-19T04,Left
26,194,2021-06-19T20,Joined
118,107,2022-07-17T14,Captained
124,220,2023-07-30T16,Joined
48,75,2021-10-05T16,Joined
129,169,2023-01-29T14,Joined
65,5,2021-10-31T01,Joined
145,151,2021-11-04T08,Joined
23,98,2022-01-14T12,Left
146,79,2021-03-10T12,Captained
46,127,2023-08-09T23,Left
51,51,2023-01-03T07,Left
81,232,2023-06-15T23,Joined
157,117,2022-04-26T16,Joined
11,156,2022-11-10T22,Captained
167,87,2022-12-26T02,Captained
30,165,2021-05-05T20,Left
14,55,2023-09-09T20,Joined
152,191,2023-03-09T04,Left
173,204,2021-09-27T22,Left
102,58,2023-07-13T00,Joined
102,145,2022-02-23T03,Joined
147,241,2022-04-24T23,Joined
103,211,2021-05-07T20,Left
93,80,2022-06-03T20,Captained
83,76,2022-07-04T12,Left
183,83,2021-10-03T01,Joined
46,204,2023-01-30T19,Left
152,127,2023-04-30T05,Joined
118,48,2022-12-04T22,Left
26,76,2023-05-15T15,Joined
62,106,2021-11-10T17,Captained
5,219,2022-01-05T17,Captained
8,53,2023-01-29T14,Left
97,208,2022-01-11T06,Left
62,56,2022-07-10T05,Captained
