npc_id,question_id,timestamp,value
265,145,2021-11-05T05,Ended Conversation
182,150,2021-10-07T17,Ended Conversation
329,131,2023-07-08T09,Started Conversation
207,182,2022-08-15T23,Started Conversation
171,190,2021-09-21T06,Started Conversation
235,189,2022-11-26T20,Started Conversation
214,226,2023-08-06T01,Ended Conversation
168,63,2022-02-02T19,Started Conversation
64,169,2021-09-23T17,Ended Conversation
214,75,2021-09-16T17,Ended Conversation
23,39,2021-09-27T10,Started Conversation
201,169,2023-06-23T14,Started Conversation
246,109,2022-08-21T19,Started Conversation
100,112,2023-05-02T02,Ended Conversation
201,92,2023-06-24T00,Ended Conversation
357,16,2023-02-24T03,Started Conversation
140,13,2021-08-24T12,Ended Conversation
280,131,2021-08-29T15,Started Conversation
46,16,2022-10-13T04,Started Conversation
195,39,2021-12-05T15,Started Conversation
140,103,2021-05-09T06,Started Conversation
346,145,2022-10-29T12,Ended Conversation
286,142,2021-03-24T11,Started Conversation
124,31,2021-08-10T19,Ended Conversation
373,34,2021-07-14T22,Ended Conversation
148,153,2021-08-25T01,Started Conversation
176,150,2022-12-02T09,Started Conversation
209,34,2021-12-08T17,Started Conversation
34,230,2022-05-17T05,Ended Conversation
334,34,2021-05-12T10,Started Conversation
300,109,2023-09-08T04,Ended Conversation
230,19,2023-01-26T03,Started Conversation
181,45,2022-12-06T03,Started Conversation
230,39,2021-06-03T09,Ended Conversation
343,56,2023-05-05T14,Started Conversation
82,31,2022-05-13T11,Started Conversation
295,75,2021-07-17T23,Ended Conversation
165,192,2021-05-25T04,Ended Conversation
384,175,2022-12-07T06,Ended Conversation
154,225,2021-08-03T10,Ended Conversation
259,83,2021-06-06T13,Ended Conversation
168,10,2022-02-10T03,Ended Conversation
374,75,2023-06-20T02,Ended Conversation
189,169,2023-07-05T12,Ended Conversation
28,216,2022-07-01T21,Started Conversation
277,179,2022-08-15T16,Started Conversation
349,98,2021-11-03T12,Started Conversation
277,72,2021-02-15T00,Started Conversation
211,80,2022-09-29T01,Ended Conversation
93,243,2021-04-14T04,Started Conversation
206,164,2022-08-04T18,Started Conversation
384,127,2021-04-17T18,Started Conversation
102,187,2021-07-07T10,Started Conversation
17,57,2022-03-18T23,Ended Conversation
326,220,2022-02-09T13,Ended Conversation
36,214,2021-07-04T09,Ended Conversation
316,236,2023-06-15T03,Ended Conversation
122,51,2022-07-02T05,Started Conversation
79,25,2021-09-23T08,Ended Conversation
46,228,2023-01-26T15,Started Conversation
324,158,2023-06-20T13,Ended Conversation
187,98,2022-02-02T10,Ended Conversation
209,57,2023-06-08T08,Ended Conversation
95,127,2023-04-01T04,Ended Conversation
214,151,2022-10-31T13,Ended Conversation
46,49,2022-12-25T03,Ended Conversation
214,127,2023-02-17T09,Ended Conversation
374,62,2022-09-07T16,Started Conversation
55,22,2023-04-12T08,Started Conversation
260,57,2023-03-05T05,Started Conversation
270,131,2022-04-06T18,Started Conversation
254,225,2021-07-30T02,Ended Conversation
111,114,2021-11-03T23,Started Conversation
35,158,2022-05-27T15,Started Conversation
154,172,2023-06-27T12,Started Conversation
329,158,2021-08-06T15,Started Conversation
34,22,2023-01-21T23,Started Conversation
387,37,2022-08-02T09,Ended Conversation
140,10,2022-07-04T18,Started Conversation
90,199,2022-07-15T15,Started Conversation
96,230,2022-11-06T03,Started Conversation
325,133,2021-05-07T14,Started Conversation
131,216,2021-10-31T19,Ended Conversation
151,141,2022-08-13T05,Ended Conversation
13,179,2023-07-10T21,Ended Conversation
207,150,2022-04-06T12,Started Conversation
134,131,2023-04-02T18,Started Conversation
148,32,2021-03-16T06,Ended Conversation
161,117,2021-12-24T15,Started Conversation
179,192,2022-07-23T04,Started Conversation
102,175,2022-12-15T08,Started Conversation
214,72,2023-07-19T05,Ended Conversation
135,49,2022-03-12T13,Ended Conversation
211,179,2021-04-05T07,Ended Conversation
378,2,2022-05-19T12,Started Conversation
59,112,2021-10-27T20,Started Conversation
248,101,2021-08-23T23,Ended Conversation
364,216,2023-06-20T16,Ended Conversation
138,169,2022-11-02T09,Ended Conversation
114,41,2021-11-08T16,Started Conversation
254,28,2022-03-16T21,Started Conversation
193,85,2023-01-16T04,Started Conversation
270,8,2021-04-25T09,Ended Conversation
20,72,2023-01-20T10,Started Conversation
364,226,2023-09-01T02,Started Conversation
80,67,2023-07-31T04,Started Conversation
141,88,2021-11-25T13,Started Conversation
43,114,2021-10-27T10,Started Conversation
366,41,2022-03-19T20,Started Conversation
154,12,2021-12-08T20,Started Conversation
325,80,2023-04-17T03,Ended Conversation
146,202,2021-07-01T19,Started Conversation
307,13,2021-12-30T02,Ended Conversation
184,59,2021-03-04T18,Ended Conversation
351,4,2023-02-16T19,Ended Conversation
17,77,2023-06-22T05,Started Conversation
297,31,2022-03-28T14,Ended Conversation
198,125,2021-04-14T08,Started Conversation
304,79,2021-08-25T13,Ended Conversation
297,156,2021-11-22T16,Ended Conversation
364,172,2022-12-06T15,Started Conversation
201,106,2021-09-29T21,Ended Conversation
375,70,2023-08-16T18,Ended Conversation
176,226,2021-09-12T15,Ended Conversation
275,155,2022-09-05T11,Started Conversation
275,62,2021-01-01T15,Ended Conversation
270,47,2021-06-16T03,Ended Conversation
161,129,2021-01-19T07,Ended Conversation
184,232,2023-05-17T06,Ended Conversation
197,25,2021-11-17T00,Ended Conversation
387,213,2022-02-09T20,Ended Conversation
154,70,2021-12-04T21,Ended Conversation
259,153,2021-12-09T04,Started Conversation
302,207,2022-05-01T09,Ended Conversation
322,175,2022-08-10T17,Ended Conversation
