npc_id,item_id,timestamp,value
56,100,2022-02-06T01,Given
248,236,2021-04-23T11,Taken
2,167,2023-05-16T16,Given
249,201,2022-04-13T03,Given
118,204,2021-07-03T15,Taken
307,298,2023-06-22T15,Taken
220,126,2023-07-05T04,Given
91,96,2021-07-20T02,Given
165,208,2021-11-30T09,Taken
209,190,2021-09-20T01,Given
40,92,2023-04-16T11,Given
165,155,2022-01-03T20,Given
111,177,2022-10-27T12,Taken
157,282,2021-11-24T13,Taken
67,48,2022-09-17T22,Taken
207,115,2022-11-01T22,Given
95,276,2023-05-01T19,Taken
90,168,2023-06-16T07,Given
70,277,2022-07-24T10,Given
61,110,2021-10-08T10,Given
289,8,2021-07-06T17,Given
22,259,2023-02-08T05,Taken
62,6,2021-04-28T00,Given
72,68,2021-11-04T16,Taken
203,54,2022-03-16T23,Given
346,122,2023-04-20T23,Given
46,130,2022-12-28T05,Given
320,303,2022-03-23T12,Taken
162,77,2021-04-01T18,Taken
261,87,2022-03-01T08,Given
182,59,2021-10-01T01,Given
95,269,2023-06-20T21,Taken
209,149,2021-04-09T08,Taken
197,257,2022-05-10T08,Taken
360,88,2021-03-01T02,Taken
329,160,2023-06-21T10,Given
230,111,2021-02-19T15,Given
360,38,2023-01-22T13,Given
225,122,2021-07-28T20,Given
237,21,2022-04-30T18,Taken
261,125,2021-01-15T02,Given
181,77,2021-05-24T16,Taken
135,213,2023-05-10T15,Taken
122,155,2022-11-21T15,Taken
329,177,2022-07-08T07,Taken
72,224,2021-11-07T20,Taken
351,35,2022-01-16T05,Given
61,66,2023-07-16T03,Given
70,234,2021-01-30T20,Taken
176,54,2022-07-12T08,Given
320,113,2022-05-08T13,Given
176,61,2023-05-19T04,Taken
341,42,2023-04-30T13,Given
278,193,2021-01-07T06,Taken
244,187,2022-08-11T14,Taken
191,227,2022-05-25T22,Given
171,5,2021-07-20T22,Given
270,204,2021-10-06T11,Taken
134,185,2021-07-25T01,Given
307,8,2021-05-16T00,Given
82,152,2023-04-17T04,Taken
108,71,2022-01-27T15,Given
375,144,2022-08-03T00,Given
135,285,2021-06-21T02,Given
5,34,2022-07-10T14,Given
364,196,2023-04-03T09,Given
212,192,2021-03-07T22,Taken
384,251,2022-06-01T19,Taken
295,185,2022-06-13T02,Given
61,265,2023-02-22T04,Taken
203,70,2021-10-20T11,Given
261,109,2022-03-14T22,Given
31,294,2021-11-24T19,Taken
148,234,2022-12-20T11,Taken
140,290,2022-01-13T05,Given
67,122,2022-10-17T06,Given
80,88,2021-04-05T05,Given
161,222,2022-12-26T21,Given
95,133,2023-01-10T06,Given
257,242,2022-07-04T22,Taken
151,21,2021-06-21T00,Taken
122,79,2022-06-13T08,Taken
184,190,2021-09-07T17,Given
387,268,2022-03-26T15,Given
118,165,2021-02-12T01,Taken
140,269,2021-09-13T08,Taken
161,51,2021-06-24T18,Taken
280,66,2023-06-03T07,Given
148,210,2023-09-01T11,Taken
259,122,2021-01-12T12,Given
181,9,2022-02-03T01,Taken
159,84,2021-09-02T20,Taken
187,147,2023-05-11T01,Taken
165,21,2023-09-04T09,Given
286,49,2021-03-05T07,Given
346,140,2022-12-01T08,Given
316,228,2021-04-27T05,Given
309,275,2023-02-05T08,Given
161,4,2023-05-04T16,Taken
270,216,2022-07-19T08,Taken
16,79,2021-06-21T08,Taken
35,15,2021-07-04T01,Taken
237,24,2023-01-14T22,Taken
217,275,2023-07-18T16,Given
378,276,2022-03-18T10,Given
331,25,2021-10-16T22,Taken
249,103,2023-08-31T10,Given
64,303,2021-04-25T15,Given
366,77,2021-05-31T08,Given
354,168,2023-08-24T17,Taken
346,285,2022-03-07T04,Taken
360,133,2021-07-28T07,Given
235,12,2021-02-15T08,Taken
59,37,2022-08-09T08,Taken
26,59,2021-08-31T09,Taken
122,107,2023-08-15T18,Given
233,251,2021-05-17T09,Taken
127,45,2022-07-10T18,Given
195,155,2021-06-01T23,Given
319,24,2021-06-12T08,Given
155,265,2022-09-03T07,Taken
248,249,2023-03-13T10,Given
370,165,2022-06-12T19,Taken
189,231,2021-09-29T19,Given
26,168,2023-08-15T10,Taken
106,201,2021-06-06T01,Taken
8,5,2023-04-27T22,Taken
9,103,2023-05-14T21,Taken
36,35,2023-07-05T17,Given
249,296,2023-08-18T23,Given
140,199,2022-12-04T07,Taken
322,20,2021-04-12T20,Given
36,59,2021-01-12T12,Taken
40,56,2021-03-05T00,Taken
277,196,2021-03-17T15,Taken
16,293,2021-06-22T02,Given
360,213,2022-03-01T01,Given
374,175,2021-08-31T23,Taken
157,269,2023-05-23T07,Given
2,74,2021-12-12T21,Taken
100,157,2021-12-23T00,Given
189,27,2022-08-02T05,Given
374,293,2022-08-14T18,Given
309,295,2023-01-07T19,Given
268,125,2022-12-22T13,Taken
312,283,2022-12-23T20,Taken
278,296,2022-02-27T09,Given
36,199,2023-01-16T21,Taken
140,88,2023-04-20T08,Given
212,265,2021-09-12T02,Given
350,50,2021-07-20T12,Given
219,146,2023-06-07T01,Taken
80,242,2022-09-04T20,Taken
91,87,2023-06-23T07,Taken
211,155,2022-07-15T11,Taken
295,35,2021-03-21T23,Taken
241,39,2021-06-01T14,Taken
20,289,2022-08-01T12,Given
195,265,2022-04-18T02,Taken
203,51,2022-06-05T20,Taken
95,296,2023-08-31T13,Given
193,163,2023-05-11T10,Taken
70,295,2022-11-15T23,Taken
346,152,2021-06-19T22,Given
100,228,2023-04-30T23,Given
106,141,2021-10-28T00,Given
289,279,2021-09-21T12,Given
316,210,2021-05-21T06,Given
278,127,2021-03-04T14,Given
2,235,2021-03-26T17,Given
222,68,2021-10-04T04,Given
324,4,2022-08-05T09,Taken
195,113,2022-01-15T11,Taken
347,239,2023-04-20T09,Taken
329,263,2023-04-17T16,Given
48,281,2022-01-12T12,Taken
293,227,2021-04-18T07,Taken
173,289,2022-03-03T21,Taken
191,146,2022-08-24T01,Taken
245,42,2022-02-22T00,Taken
198,109,2023-07-10T00,Taken
161,90,2022-12-30T16,Given
91,37,2021-10-12T22,Taken
79,296,2022-08-10T02,Given
102,193,2021-11-06T03,Taken
28,113,2023-06-29T12,Taken
261,98,2021-01-17T20,Given
72,1,2021-11-12T05,Given
90,113,2021-10-02T10,Taken
34,91,2023-04-13T14,Taken
364,35,2021-05-27T09,Taken
207,12,2022-11-12T07,Taken
334,165,2021-11-13T02,Given
102,117,2023-06-23T17,Taken
350,15,2021-10-09T01,Given
263,27,2022-07-16T19,Given
16,5,2023-02-05T12,Taken
72,17,2022-01-14T18,Taken
384,58,2021-02-25T23,Taken
154,147,2022-07-06T07,Taken
357,86,2023-06-02T08,Taken
189,86,2022-10-03T01,Taken
35,32,2023-08-22T12,Given
275,216,2022-07-25T04,Taken
79,289,2022-08-01T18,Given
75,239,2021-08-01T02,Taken
59,20,2022-09-04T09,Taken
62,207,2023-02-21T09,Taken
198,210,2023-08-15T00,Given
319,133,2021-09-26T07,Given
202,227,2023-05-30T22,Taken
331,74,2022-10-26T05,Given
79,279,2021-08-08T17,Taken
151,115,2022-08-26T07,Given
135,125,2023-04-02T19,Given
105,293,2021-05-21T06,Taken
237,263,2021-09-27T05,Given
337,21,2022-06-19T02,Given
359,257,2022-03-01T17,Taken
91,56,2023-03-24T14,Given
111,236,2022-08-14T05,Given
151,190,2022-05-09T11,Given
337,122,2022-12-19T02,Taken
35,127,2022-03-03T19,Taken
52,227,2023-02-16T15,Given
366,130,2022-04-20T15,Taken
16,199,2023-05-31T20,Given
62,163,2021-06-10T05,Given
61,39,2022-05-11T02,Taken
102,104,2023-09-14T15,Taken
347,277,2021-06-18T18,Given
61,141,2022-10-10T15,Taken
249,165,2021-11-24T15,Taken
157,68,2023-02-07T06,Given
124,265,2021-02-10T20,Taken
261,282,2021-04-02T00,Given
381,17,2021-12-31T01,Taken
374,224,2022-01-30T01,Taken
80,113,2022-11-25T21,Taken
268,299,2022-11-05T21,Taken
36,267,2022-07-10T02,Taken
313,27,2023-03-15T09,Given
214,163,2021-06-07T16,Given
263,269,2023-01-20T04,Given
95,115,2023-03-01T06,Given
387,87,2023-05-20T17,Taken
280,122,2022-12-31T11,Given
49,224,2022-08-24T23,Taken
38,98,2022-06-28T10,Given
120,6,2022-07-10T17,Given
325,104,2021-10-22T23,Given
38,133,2021-12-22T00,Given
157,34,2023-01-13T08,Taken
283,294,2021-06-09T07,Given
198,56,2023-09-08T16,Taken
114,12,2022-11-26T08,Given
168,14,2023-01-07T06,Given
93,173,2022-04-07T17,Given
193,14,2021-05-28T15,Taken
64,35,2021-01-30T23,Taken
261,169,2021-08-28T02,Given
173,249,2023-06-04T07,Taken
127,5,2022-01-29T14,Taken
206,90,2022-03-04T06,Given
302,117,2022-05-13T19,Taken
331,107,2021-09-24T12,Taken
389,173,2022-10-30T00,Taken
82,227,2022-11-01T14,Taken
124,34,2021-06-10T10,Taken
381,245,2023-05-25T04,Given
286,213,2021-03-30T11,Given
108,190,2022-05-22T04,Taken
91,290,2022-11-01T21,Taken
197,61,2022-04-27T05,Taken
295,17,2022-06-21T05,Taken
350,268,2023-01-31T10,Taken
8,179,2022-01-19T14,Taken
275,82,2023-03-29T09,Given
5,12,2021-03-26T17,Given
257,282,2022-03-23T18,Given
173,175,2022-09-28T05,Taken
349,278,2021-08-24T04,Taken
245,301,2022-02-28T04,Given
154,179,2021-10-31T01,Taken
134,124,2022-01-18T04,Taken
289,110,2021-04-21T05,Given
127,140,2022-06-09T16,Given
245,111,2021-08-27T01,Taken
225,167,2022-09-08T08,Taken
146,133,2021-05-05T06,Taken
259,84,2021-01-02T19,Taken
222,155,2021-01-15T01,Given
157,4,2021-02-24T15,Taken
288,179,2021-10-26T17,Given
96,54,2022-03-17T01,Taken
346,56,2023-06-11T14,Taken
165,133,2022-02-11T21,Given
295,149,2023-06-01T01,Taken
240,252,2023-03-05T06,Given
46,96,2023-06-10T11,Taken
122,278,2023-09-14T23,Taken
59,290,2023-06-19T21,Taken
316,295,2022-06-26T18,Taken
9,272,2022-03-12T03,Given
108,289,2021-05-20T16,Taken
36,224,2022-02-02T15,Taken
85,205,2023-04-27T19,Taken
151,137,2023-04-27T02,Taken
80,68,2021-01-29T05,Given
88,242,2023-05-21T11,Taken
146,77,2023-03-17T14,Taken
325,277,2022-05-13T12,Taken
270,199,2021-05-21T16,Given
182,82,2023-04-13T20,Given
90,211,2022-01-12T18,Given
295,294,2022-08-23T17,Given
370,84,2023-01-28T16,Given
143,21,2022-10-25T13,Given
46,54,2023-09-14T08,Given
225,48,2022-08-30T21,Taken
61,127,2021-08-01T00,Taken
377,249,2021-11-23T20,Given
338,34,2023-06-21T15,Given
324,111,2021-10-04T16,Taken
114,1,2021-03-07T02,Taken
257,201,2023-05-06T17,Given
347,149,2023-06-09T10,Taken
283,205,2022-02-28T16,Taken
35,231,2022-08-24T04,Taken
331,287,2021-11-16T03,Given
360,119,2022-06-20T07,Given
364,24,2022-04-22T19,Given
249,74,2023-06-03T06,Given
129,14,2023-02-12T11,Taken
252,298,2021-07-17T19,Taken
70,20,2022-12-21T11,Taken
197,25,2023-03-01T21,Taken
389,228,2021-12-28T00,Taken
320,115,2022-03-03T10,Given
297,290,2022-12-23T18,Given
377,144,2022-07-20T15,Taken
341,267,2021-01-19T17,Given
312,124,2021-07-29T23,Taken
28,166,2021-10-23T20,Taken
102,147,2022-03-26T23,Taken
374,69,2022-10-11T06,Taken
211,87,2022-10-12T17,Given
309,257,2023-08-09T23,Taken
375,277,2023-01-14T07,Taken
111,249,2023-01-05T04,Taken
357,247,2023-09-05T17,Taken
283,160,2022-02-18T02,Given
148,113,2022-04-03T02,Taken
198,71,2021-06-28T09,Taken
124,193,2021-02-10T19,Taken
49,251,2023-08-29T15,Taken
62,147,2023-05-29T15,Taken
157,91,2021-05-17T11,Taken
206,167,2022-11-29T01,Given
220,54,2023-02-28T02,Taken
124,103,2021-02-22T18,Given
307,282,2021-10-09T22,Taken
118,193,2023-06-24T03,Taken
13,283,2021-10-18T10,Given
8,70,2022-06-02T01,Given
96,208,2021-07-12T03,Taken
115,107,2021-12-05T08,Given
366,296,2022-08-08T10,Given
360,37,2022-08-23T01,Taken
221,134,2021-01-18T01,Given
176,75,2023-08-25T21,Taken
268,71,2021-04-19T05,Taken
20,51,2021-01-19T17,Given
320,268,2021-05-30T08,Given
245,92,2022-03-12T09,Given
8,163,2022-12-31T10,Taken
195,226,2022-08-15T11,Given
154,168,2021-05-22T03,Given
270,227,2021-06-15T14,Taken
370,6,2023-03-13T19,Given
55,301,2023-07-05T07,Taken
292,235,2021-09-26T00,Given
329,94,2022-11-24T20,Taken
159,5,2021-06-27T13,Taken
155,98,2022-01-15T23,Taken
171,1,2023-08-12T16,Taken
106,42,2023-08-17T10,Taken
20,82,2022-05-11T14,Taken
207,279,2023-02-17T06,Given
248,301,2022-08-01T06,Taken
320,137,2023-07-08T00,Taken
230,84,2021-07-11T04,Given
90,69,2021-05-04T16,Taken
222,140,2022-11-05T23,Taken
157,60,2022-01-01T11,Taken
329,111,2021-07-15T07,Given
389,303,2023-06-01T15,Taken
252,265,2021-01-17T14,Taken
16,79,2022-09-26T23,Given
141,242,2022-09-03T20,Taken
384,20,2022-08-22T21,Taken
49,201,2021-11-08T14,Given
374,86,2022-07-21T13,Taken
59,50,2022-11-30T05,Given
207,267,2021-11-08T22,Given
319,249,2022-05-20T18,Given
131,231,2021-08-14T05,Taken
162,198,2022-07-16T08,Given
240,152,2021-01-20T13,Taken
252,90,2022-12-01T17,Taken
122,122,2023-07-15T19,Given
275,51,2023-03-11T07,Taken
157,15,2023-05-08T18,Taken
197,25,2021-01-01T05,Taken
283,50,2022-01-05T05,Given
202,152,2021-09-03T11,Taken
36,275,2022-09-15T19,Given
316,295,2021-05-20T14,Taken
331,227,2023-03-09T13,Taken
162,239,2022-12-13T16,Given
309,290,2021-08-20T16,Given
12,293,2022-06-17T21,Taken
91,155,2023-06-13T11,Given
171,103,2021-12-06T16,Taken
322,222,2022-04-02T03,Taken
313,109,2022-10-26T20,Given
312,34,2022-12-17T10,Given
20,289,2021-08-19T05,Taken
95,143,2022-12-04T18,Given
359,293,2021-07-11T11,Taken
293,204,2021-11-15T04,Given
165,143,2022-10-18T19,Given
377,25,2022-05-07T10,Given
111,58,2021-01-21T20,Given
237,79,2021-11-04T01,Taken
357,165,2022-04-01T12,Given
309,147,2022-10-15T08,Taken
373,149,2022-10-29T23,Given
161,257,2022-08-25T19,Given
263,82,2022-02-20T20,Given
122,239,2021-09-29T07,Given
364,216,2023-06-18T21,Taken
248,252,2021-10-15T09,Given
141,27,2022-07-15T05,Given
145,299,2021-11-07T20,Given
79,42,2022-03-19T02,Given
320,224,2023-07-22T11,Given
135,167,2021-03-05T01,Given
79,205,2021-03-05T03,Taken
338,169,2021-04-26T04,Given
370,117,2023-08-08T08,Given
320,165,2022-12-26T15,Given
295,204,2023-01-31T02,Given
319,1,2021-12-03T17,Taken
351,126,2021-12-01T10,Taken
378,29,2021-08-22T18,Taken
182,283,2022-12-01T16,Given
263,119,2023-05-31T17,Given
187,86,2023-09-01T00,Given
105,283,2023-05-22T08,Taken
151,96,2021-04-21T17,Taken
146,146,2022-04-06T20,Taken
197,111,2022-09-18T15,Taken
171,260,2023-07-26T15,Given
176,50,2022-11-23T02,Taken
331,9,2022-09-29T13,Given
97,299,2021-08-26T10,Taken
100,299,2023-03-06T12,Taken
197,56,2022-12-01T21,Taken
228,234,2022-06-15T12,Given
237,110,2021-06-02T15,Taken
36,298,2021-06-21T07,Taken
240,82,2022-07-14T22,Taken
