npc_id,quest_id,timestamp,value
52,242,2022-10-20T13,Completed Quest
72,68,2023-07-19T09,Completed Quest
144,288,2021-09-25T18,Gave Quest
187,274,2023-03-31T05,Gave Quest
156,31,2022-01-09T00,Gave Quest
56,83,2022-09-26T23,Completed Quest
47,5,2021-08-18T00,Gave Quest
72,245,2021-04-07T04,Completed Quest
47,231,2023-08-19T17,Gave Quest
47,330,2022-07-24T09,Gave Quest
87,18,2023-02-25T13,Completed Quest
56,139,2021-11-07T22,Gave Quest
15,254,2023-03-24T21,Gave Quest
107,261,2021-12-23T03,Gave Quest
184,26,2021-12-01T23,Gave Quest
102,162,2023-07-26T10,Completed Quest
54,44,2022-06-19T20,Gave Quest
119,282,2021-02-22T11,Gave Quest
36,279,2023-06-05T12,Gave Quest
132,92,2023-07-18T09,Completed Quest
47,283,2023-05-16T22,Gave Quest
54,238,2021-06-25T11,Gave Quest
85,196,2022-02-03T20,Completed Quest
87,124,2022-06-21T13,Gave Quest
156,100,2023-04-02T16,Completed Quest
164,316,2022-02-06T06,Gave Quest
28,337,2023-08-06T17,Gave Quest
118,303,2022-07-08T01,Gave Quest
172,282,2022-09-11T09,Gave Quest
168,225,2022-07-11T03,Completed Quest
191,139,2023-07-18T22,Gave Quest
141,56,2023-04-27T10,Gave Quest
121,303,2021-09-05T13,Gave Quest
179,46,2021-11-20T20,Completed Quest
30,177,2023-09-03T12,Completed Quest
87,305,2021-09-13T06,Gave Quest
126,315,2022-03-12T19,Completed Quest
32,53,2021-11-21T00,Gave Quest
126,191,2021-12-29T08,Gave Quest
64,340,2023-06-01T18,Gave Quest
54,32,2021-09-08T20,Completed Quest
191,228,2022-04-26T20,Completed Quest
40,131,2021-08-07T11,Completed Quest
113,261,2022-10-25T02,Gave Quest
69,249,2022-04-22T23,Completed Quest
119,173,2021-06-09T23,Gave Quest
28,196,2023-08-29T20,Gave Quest
149,126,2021-05-15T10,Completed Quest
138,194,2021-07-27T12,Gave Quest
2,202,2022-01-09T15,Completed Quest
97,162,2021-12-16T02,Completed Quest
61,278,2022-06-26T04,Gave Quest
135,9,2023-08-11T18,Completed Quest
126,93,2023-02-10T15,Completed Quest
173,74,2021-10-09T10,Gave Quest
119,294,2023-03-19T16,Gave Quest
28,100,2023-01-20T00,Completed Quest
175,238,2021-02-25T07,Gave Quest
135,256,2023-03-23T10,Completed Quest
164,147,2021-12-16T04,Gave Quest
148,62,2022-09-05T12,Gave Quest
187,343,2022-03-30T03,Gave Quest
190,183,2022-07-05T06,Gave Quest
104,74,2022-07-01T14,Completed Quest
190,194,2023-08-14T14,Gave Quest
77,121,2023-07-20T10,Gave Quest
90,307,2022-03-18T02,Gave Quest
175,256,2021-12-14T13,Gave Quest
148,159,2022-08-13T00,Completed Quest
85,3,2023-07-03T03,Gave Quest
184,85,2021-09-19T08,Gave Quest
35,121,2022-06-20T08,Gave Quest
7,105,2022-05-02T01,Gave Quest
44,339,2021-12-19T05,Gave Quest
80,258,2021-12-12T21,Gave Quest
58,84,2021-04-14T06,Gave Quest
40,349,2022-02-26T19,Completed Quest
159,46,2022-02-20T23,Gave Quest
32,224,2023-08-30T10,Completed Quest
46,18,2023-06-18T07,Gave Quest
40,151,2023-08-16T14,Gave Quest
167,183,2021-12-07T02,Completed Quest
110,161,2021-08-13T15,Gave Quest
69,161,2021-09-25T18,Gave Quest
56,99,2021-12-05T18,Gave Quest
83,29,2023-01-12T08,Gave Quest
148,46,2022-05-11T22,Completed Quest
129,216,2021-02-01T21,Gave Quest
137,46,2022-05-01T19,Gave Quest
29,51,2022-01-04T05,Completed Quest
36,315,2021-02-17T03,Gave Quest
191,238,2022-02-02T10,Completed Quest
38,242,2022-07-04T09,Completed Quest
187,86,2022-02-18T01,Completed Quest
2,238,2023-07-18T15,Gave Quest
91,194,2023-09-06T03,Gave Quest
119,62,2022-05-22T09,Completed Quest
102,334,2021-07-06T23,Completed Quest
155,165,2023-09-10T21,Gave Quest
191,46,2021-10-06T16,Gave Quest
77,46,2022-03-05T00,Completed Quest
149,126,2023-02-15T17,Completed Quest
72,305,2021-12-27T01,Completed Quest
93,213,2023-01-15T16,Completed Quest
113,219,2021-08-17T13,Gave Quest
102,9,2022-04-26T16,Gave Quest
2,5,2021-09-26T03,Completed Quest
7,133,2023-01-31T14,Gave Quest
164,44,2021-11-30T23,Gave Quest
80,258,2022-05-10T00,Gave Quest
47,245,2021-05-08T16,Completed Quest
49,300,2021-11-05T20,Completed Quest
104,236,2022-06-14T01,Gave Quest
188,271,2022-12-12T07,Completed Quest
100,155,2021-11-05T18,Completed Quest
18,84,2023-01-31T05,Gave Quest
92,228,2021-12-15T18,Gave Quest
11,124,2021-06-04T23,Completed Quest
77,211,2022-05-20T07,Gave Quest
91,116,2021-03-06T14,Gave Quest
22,321,2023-08-05T14,Gave Quest
35,87,2022-04-24T04,Gave Quest
115,26,2022-05-15T05,Gave Quest
29,199,2023-07-06T15,Completed Quest
8,46,2021-03-07T03,Gave Quest
29,349,2021-02-09T10,Gave Quest
138,62,2021-08-25T07,Gave Quest
4,210,2022-10-20T23,Gave Quest
132,211,2023-03-08T11,Gave Quest
184,44,2023-03-11T23,Gave Quest
144,324,2022-10-06T04,Gave Quest
21,40,2023-01-07T04,Completed Quest
48,266,2023-08-08T17,Gave Quest
13,315,2021-05-30T03,Gave Quest
106,294,2022-12-20T02,Completed Quest
119,90,2021-02-02T14,Gave Quest
66,337,2022-10-26T17,Gave Quest
83,157,2022-08-31T11,Gave Quest
47,274,2023-02-19T22,Completed Quest
156,234,2022-09-15T16,Gave Quest
148,53,2021-05-16T18,Gave Quest
49,294,2021-12-18T02,Gave Quest
144,53,2021-05-28T06,Gave Quest
148,26,2021-09-06T12,Gave Quest
191,51,2023-06-25T16,Completed Quest
61,142,2022-12-16T21,Gave Quest
82,71,2022-01-24T02,Gave Quest
152,231,2022-10-10T07,Gave Quest
104,312,2022-03-26T19,Gave Quest
92,100,2022-06-07T15,Gave Quest
38,309,2023-04-01T17,Gave Quest
8,217,2022-06-30T17,Gave Quest
82,187,2022-03-27T06,Completed Quest
137,170,2021-10-01T18,Completed Quest
61,62,2021-04-08T00,Completed Quest
29,206,2022-09-06T06,Gave Quest
18,79,2021-07-25T09,Completed Quest
56,74,2021-06-22T23,Gave Quest
49,307,2022-02-26T07,Completed Quest
90,157,2021-02-14T21,Gave Quest
47,43,2022-02-21T21,Gave Quest
107,139,2023-08-04T00,Gave Quest
126,245,2021-09-23T21,Completed Quest
77,35,2023-05-18T20,Gave Quest
93,225,2022-08-11T13,Gave Quest
184,79,2022-02-15T03,Gave Quest
25,303,2021-11-03T23,Completed Quest
141,29,2022-04-02T07,Gave Quest
38,86,2022-08-24T13,Completed Quest
141,155,2021-04-10T03,Completed Quest
137,177,2023-04-03T02,Completed Quest
27,51,2021-10-03T03,Completed Quest
138,133,2022-01-27T02,Completed Quest
110,274,2022-04-26T13,Gave Quest
182,324,2022-05-12T13,Gave Quest
123,145,2023-02-14T06,Completed Quest
175,305,2022-06-19T20,Completed Quest
38,305,2022-08-24T06,Completed Quest
175,146,2023-04-10T02,Completed Quest
188,129,2021-09-23T17,Completed Quest
110,86,2021-07-02T04,Completed Quest
13,151,2022-03-15T03,Gave Quest
40,291,2022-02-27T20,Gave Quest
94,102,2022-07-25T22,Gave Quest
194,87,2021-12-01T20,Completed Quest
149,8,2022-03-27T16,Completed Quest
52,124,2021-03-08T12,Gave Quest
22,32,2023-02-16T06,Completed Quest
44,256,2023-09-05T12,Completed Quest
144,278,2022-01-04T20,Completed Quest
42,96,2021-08-06T10,Gave Quest
159,162,2022-08-28T18,Gave Quest
82,3,2022-07-07T02,Completed Quest
2,161,2022-09-28T07,Completed Quest
4,85,2021-04-12T20,Completed Quest
54,204,2021-04-15T01,Gave Quest
129,159,2022-12-24T01,Completed Quest
176,131,2022-03-24T04,Completed Quest
52,161,2022-01-17T17,Gave Quest
135,68,2022-07-10T08,Gave Quest
149,180,2021-11-04T06,Completed Quest
58,264,2022-02-08T05,Completed Quest
52,121,2021-07-17T22,Gave Quest
132,173,2022-11-12T06,Gave Quest
137,35,2023-03-23T08,Gave Quest
75,151,2021-09-24T17,Completed Quest
8,183,2023-04-28T08,Gave Quest
119,121,2021-07-07T13,Completed Quest
191,322,2023-02-26T09,Gave Quest
29,333,2022-02-03T11,Completed Quest
107,282,2021-08-18T18,Completed Quest
119,186,2022-08-16T02,Gave Quest
121,174,2023-03-05T07,Gave Quest
80,165,2021-05-13T18,Gave Quest
176,334,2023-01-05T17,Gave Quest
161,349,2021-12-11T16,Completed Quest
21,284,2022-07-26T22,Gave Quest
8,337,2022-11-22T00,Completed Quest
115,167,2022-04-18T16,Gave Quest
92,96,2022-06-11T07,Gave Quest
159,315,2021-01-09T07,Gave Quest
190,170,2021-07-27T16,Gave Quest
46,102,2021-12-03T10,Completed Quest
155,146,2021-10-13T16,Completed Quest
146,187,2023-04-01T14,Gave Quest
72,204,2023-03-28T10,Completed Quest
106,146,2021-08-05T00,Completed Quest
82,258,2023-05-27T02,Gave Quest
66,264,2021-05-24T17,Completed Quest
144,222,2021-06-15T15,Gave Quest
104,202,2022-07-15T14,Completed Quest
148,316,2022-12-22T07,Gave Quest
194,261,2022-10-25T17,Gave Quest
56,202,2021-04-28T13,Completed Quest
7,256,2023-02-09T09,Gave Quest
82,121,2022-05-02T20,Completed Quest
141,53,2021-07-30T22,Gave Quest
15,234,2022-10-14T13,Completed Quest
159,150,2023-05-26T22,Completed Quest
176,252,2022-09-27T22,Completed Quest
161,210,2021-10-07T16,Completed Quest
38,99,2022-04-24T20,Completed Quest
27,318,2021-12-11T09,Completed Quest
159,264,2021-02-12T17,Completed Quest
21,173,2023-05-20T10,Gave Quest
138,294,2022-12-25T23,Gave Quest
144,84,2022-09-11T22,Gave Quest
66,43,2022-10-31T02,Gave Quest
69,126,2021-08-24T20,Completed Quest
58,285,2022-06-24T21,Completed Quest
61,59,2022-08-18T19,Gave Quest
85,144,2021-07-02T21,Completed Quest
8,222,2021-02-02T06,Completed Quest
85,121,2021-04-04T15,Completed Quest
104,165,2022-01-18T07,Gave Quest
66,242,2023-04-30T08,Gave Quest
77,349,2021-10-17T19,Gave Quest
141,77,2023-01-20T16,Completed Quest
44,210,2022-09-06T10,Gave Quest
156,84,2021-04-09T05,Gave Quest
79,254,2022-10-01T23,Gave Quest
104,40,2023-04-08T23,Gave Quest
13,143,2021-12-03T15,Completed Quest
123,179,2023-07-27T21,Gave Quest
119,210,2021-03-22T11,Gave Quest
36,9,2022-10-06T20,Gave Quest
168,231,2021-08-08T05,Gave Quest
40,301,2022-06-15T20,Gave Quest
156,236,2022-05-19T21,Gave Quest
36,349,2021-08-15T12,Gave Quest
72,29,2022-04-26T08,Completed Quest
146,38,2021-01-23T14,Completed Quest
161,56,2021-02-14T08,Completed Quest
159,26,2021-06-19T08,Completed Quest
25,246,2023-03-21T21,Gave Quest
172,112,2021-08-06T14,Completed Quest
36,144,2021-04-22T08,Completed Quest
83,133,2022-11-16T17,Completed Quest
49,8,2023-03-19T09,Gave Quest
60,264,2023-07-12T04,Completed Quest
106,274,2023-06-11T21,Completed Quest
137,86,2021-07-01T10,Completed Quest
21,131,2021-09-11T16,Gave Quest
100,177,2022-03-16T15,Completed Quest
119,343,2022-12-28T19,Completed Quest
93,74,2022-03-16T13,Completed Quest
48,337,2021-03-25T00,Completed Quest
96,56,2022-07-14T12,Gave Quest
172,68,2023-04-20T14,Completed Quest
121,151,2023-03-18T23,Gave Quest
92,131,2021-03-16T04,Gave Quest
92,92,2022-05-19T08,Gave Quest
172,249,2022-12-09T11,Completed Quest
32,194,2022-04-02T12,Completed Quest
156,53,2022-03-21T11,Completed Quest
110,206,2021-04-07T05,Completed Quest
87,289,2022-09-07T10,Gave Quest
102,349,2021-10-11T20,Gave Quest
172,155,2021-03-28T08,Gave Quest
148,44,2023-05-13T05,Completed Quest
156,312,2023-07-15T03,Completed Quest
30,74,2022-04-14T20,Completed Quest
47,312,2023-07-02T08,Gave Quest
148,234,2022-04-24T08,Gave Quest
159,337,2022-05-22T09,Completed Quest
54,210,2023-01-15T00,Gave Quest
188,93,2022-11-09T10,Gave Quest
18,62,2022-09-20T09,Gave Quest
148,284,2021-11-12T14,Gave Quest
92,337,2023-03-05T08,Completed Quest
121,99,2021-02-01T19,Completed Quest
61,289,2021-11-16T12,Completed Quest
164,343,2021-01-22T05,Gave Quest
52,199,2022-10-08T21,Completed Quest
58,305,2023-03-24T16,Gave Quest
168,68,2023-03-18T22,Gave Quest
126,254,2022-10-28T20,Gave Quest
82,31,2022-09-08T09,Completed Quest
100,305,2021-06-07T01,Gave Quest
69,82,2021-04-04T16,Completed Quest
149,9,2021-03-19T13,Gave Quest
75,121,2021-11-28T01,Gave Quest
30,144,2023-08-08T04,Completed Quest
126,165,2023-07-20T04,Completed Quest
22,92,2021-10-07T17,Gave Quest
96,266,2021-07-24T10,Gave Quest
119,278,2022-07-14T14,Gave Quest
168,279,2021-12-14T01,Gave Quest
161,79,2021-02-04T22,Gave Quest
56,305,2022-02-14T00,Completed Quest
104,334,2021-07-20T07,Completed Quest
44,12,2022-06-04T17,Gave Quest
156,256,2022-12-03T20,Completed Quest
173,305,2022-03-06T16,Completed Quest
44,191,2021-11-04T10,Gave Quest
119,283,2023-03-07T23,Gave Quest
121,142,2022-04-07T07,Completed Quest
38,324,2021-01-16T13,Completed Quest
168,173,2022-04-17T22,Completed Quest
148,93,2022-09-13T02,Gave Quest
58,315,2023-01-23T09,Completed Quest
194,339,2021-12-09T06,Completed Quest
49,16,2022-03-11T07,Gave Quest
171,99,2021-10-21T09,Gave Quest
49,77,2023-01-02T08,Gave Quest
54,5,2023-03-04T17,Gave Quest
90,339,2022-11-01T11,Completed Quest
13,300,2021-03-10T10,Completed Quest
179,254,2023-05-15T05,Completed Quest
49,241,2022-10-13T00,Completed Quest
61,211,2021-12-12T07,Gave Quest
146,84,2023-03-24T06,Completed Quest
176,112,2022-01-23T15,Gave Quest
18,174,2021-11-30T01,Completed Quest
172,242,2021-12-11T03,Gave Quest
138,51,2022-12-27T04,Gave Quest
113,96,2022-08-19T17,Completed Quest
179,238,2021-05-03T00,Gave Quest
184,136,2023-06-13T12,Gave Quest
187,249,2022-04-29T07,Gave Quest
87,18,2022-11-07T11,Completed Quest
161,254,2022-08-20T00,Completed Quest
182,144,2022-04-10T20,Gave Quest
38,321,2021-09-29T18,Completed Quest
148,133,2022-12-24T08,Gave Quest
175,234,2022-08-22T00,Gave Quest
110,222,2022-02-19T21,Gave Quest
92,32,2022-10-15T12,Completed Quest
64,48,2022-08-16T02,Completed Quest
48,31,2022-08-20T19,Completed Quest
66,288,2022-06-18T13,Gave Quest
141,289,2022-04-17T05,Completed Quest
123,294,2022-12-14T11,Completed Quest
191,252,2023-03-13T17,Gave Quest
94,53,2022-07-01T04,Completed Quest
82,99,2023-02-03T13,Completed Quest
72,102,2022-05-10T13,Gave Quest
126,343,2022-02-20T06,Completed Quest
135,234,2021-09-17T22,Completed Quest
120,305,2021-01-16T09,Gave Quest
75,121,2021-03-30T09,Completed Quest
32,35,2023-06-26T20,Gave Quest
36,109,2022-09-08T01,Completed Quest
96,271,2022-04-11T19,Completed Quest
56,144,2021-09-15T05,Completed Quest
168,260,2022-12-28T00,Completed Quest
87,126,2023-08-07T04,Gave Quest
58,349,2022-09-04T15,Gave Quest
85,199,2022-09-24T06,Completed Quest
187,183,2023-04-14T01,Gave Quest
144,159,2022-08-09T14,Completed Quest
46,100,2022-12-30T22,Completed Quest
56,136,2021-06-12T16,Gave Quest
172,312,2023-05-28T23,Completed Quest
119,20,2023-07-31T04,Gave Quest
159,274,2021-01-31T10,Gave Quest
104,194,2021-02-24T15,Completed Quest
25,108,2023-04-10T15,Completed Quest
22,139,2022-09-18T23,Gave Quest
129,43,2023-03-29T04,Gave Quest
172,211,2022-02-25T17,Gave Quest
176,196,2022-05-10T00,Completed Quest
90,84,2021-02-27T04,Gave Quest
52,112,2023-03-20T18,Gave Quest
135,15,2021-11-07T05,Completed Quest
113,44,2023-04-07T19,Completed Quest
80,236,2022-12-20T21,Completed Quest
79,133,2022-04-05T22,Gave Quest
58,77,2022-07-27T16,Completed Quest
149,58,2022-02-02T03,Completed Quest
190,93,2021-02-28T01,Gave Quest
129,208,2021-12-20T15,Gave Quest
184,15,2021-02-27T02,Gave Quest
141,86,2022-08-05T08,Gave Quest
87,62,2021-01-22T19,Gave Quest
138,349,2021-02-12T16,Gave Quest
156,206,2021-10-31T01,Gave Quest
123,242,2023-08-04T16,Gave Quest
72,159,2021-09-03T12,Gave Quest
36,289,2021-01-14T05,Gave Quest
15,234,2023-04-24T04,Completed Quest
83,217,2021-04-05T09,Gave Quest
4,266,2021-07-25T21,Completed Quest
132,186,2023-02-09T11,Gave Quest
96,316,2021-02-04T16,Completed Quest
40,202,2021-01-02T03,Gave Quest
52,62,2021-06-30T06,Completed Quest
135,114,2022-11-18T02,Gave Quest
91,204,2021-03-14T14,Completed Quest
38,16,2023-05-16T00,Gave Quest
100,191,2022-01-27T19,Gave Quest
184,322,2021-08-21T17,Completed Quest
54,264,2022-11-26T19,Gave Quest
100,339,2021-10-25T06,Gave Quest
191,339,2023-01-08T07,Completed Quest
94,260,2023-03-03T00,Gave Quest
7,309,2022-10-18T02,Completed Quest
15,129,2022-10-25T04,Gave Quest
155,139,2021-11-10T12,Gave Quest
172,252,2022-02-24T03,Gave Quest
28,339,2022-03-06T12,Completed Quest
175,330,2021-09-01T04,Gave Quest
129,48,2022-02-18T10,Completed Quest
72,82,2022-10-22T19,Gave Quest
54,86,2021-05-15T23,Gave Quest
11,219,2021-05-06T20,Gave Quest
164,112,2021-05-13T06,Gave Quest
141,151,2021-06-09T10,Gave Quest
182,315,2021-08-31T17,Completed Quest
176,139,2023-05-18T18,Completed Quest
141,84,2022-06-27T22,Gave Quest
69,334,2022-03-16T19,Completed Quest
38,339,2022-04-02T13,Gave Quest
29,222,2021-02-03T12,Gave Quest
46,266,2022-09-25T14,Completed Quest
126,349,2022-03-08T21,Gave Quest
110,145,2023-08-14T19,Gave Quest
79,170,2023-04-18T11,Completed Quest
190,246,2021-05-12T16,Gave Quest
96,92,2022-07-25T08,Gave Quest
119,241,2023-02-12T09,Gave Quest
21,133,2023-06-12T03,Completed Quest
141,162,2023-03-20T01,Gave Quest
25,334,2022-09-09T23,Gave Quest
184,32,2022-07-29T06,Completed Quest
91,167,2021-06-10T11,Gave Quest
113,121,2021-09-12T16,Gave Quest
94,173,2023-01-08T19,Gave Quest
2,211,2023-08-03T11,Gave Quest
69,219,2023-05-11T03,Gave Quest
22,339,2021-06-05T08,Gave Quest
28,258,2021-06-30T05,Completed Quest
54,349,2022-09-12T11,Gave Quest
164,343,2022-10-16T13,Completed Quest
132,84,2021-07-03T15,Gave Quest
156,277,2023-06-24T00,Completed Quest
36,288,2021-02-22T08,Completed Quest
159,170,2023-01-10T19,Gave Quest
115,31,2022-12-28T23,Gave Quest
83,305,2022-10-04T04,Completed Quest
110,282,2021-07-05T07,Completed Quest
97,180,2023-01-27T02,Gave Quest
146,38,2021-04-26T19,Gave Quest
104,343,2021-03-31T16,Completed Quest
